invoice_id,age,annual_income,days_past_due,outstanding_amount,true_pd,true_lgd,default_flag
INV_00000,40.0,38704.49,41,4682.79,0.2123047941299796,0.8113345798305657,0
INV_00001,33.6,46051.21,1,2713.01,0.10069747254943028,0.3449175155318694,0
INV_00002,41.5,40165.8,35,4744.76,0.19069901732364336,0.7879373294170733,0
INV_00003,50.2,56266.37,39,6566.26,0.18533439282701983,0.2970397988567245,1
INV_00004,32.7,86427.21,19,6402.97,0.1078094920322376,0.9660651644847886,0
INV_00005,32.7,36950.01,14,4460.24,0.13529009694893618,0.5668706959624933,0
INV_00006,50.8,83253.69,3,6901.3,0.08165814426390404,0.6473254809067588,0
INV_00007,42.7,80503.43,6,6080.34,0.0880177814648594,0.5404082304189742,0
INV_00008,30.3,79418.04,14,9268.12,0.10291895607697735,0.6316783527263973,0
INV_00009,40.4,54417.49,41,4434.7,0.19374258239627312,0.6095093723167586,0
INV_00010,30.4,38073.86,33,3091.44,0.18672537122105598,0.8261925268556998,0
INV_00011,30.3,124452.38,14,13434.84,0.07626697900683783,0.5852890588424243,0
INV_00012,37.4,102269.82,31,9921.74,0.12114597771017717,0.8741460636502826,0
INV_00013,18.0,55034.38,30,5323.27,0.16014047150332475,0.8503069456363926,0
INV_00014,18.0,60082.37,18,5806.15,0.12548515281534903,0.9163856506934174,0
INV_00015,29.4,47169.03,5,5064.5,0.10762914680920445,0.47515669902937624,0
INV_00016,24.9,25849.74,9,2358.64,0.13273644776803312,0.7534524809683856,0
INV_00017,38.1,51232.58,4,5237.38,0.10289227805001251,0.8655296825505849,0
INV_00018,25.9,68125.49,1,6308.99,0.08700595236895589,0.6314636608313894,1
INV_00019,20.9,41219.41,2,4473.76,0.10587526385668125,0.8642534700917974,1
INV_00020,49.7,46076.51,29,4921.49,0.16626065657645492,0.6171888758711291,0
INV_00021,32.7,45888.79,1,6486.76,0.10080496954715311,0.6198393738854254,1
INV_00022,35.7,56625.65,11,5281.31,0.1129896722785013,0.4598434139789683,1
INV_00023,20.8,48044.65,86,4620.3,0.38900806368521484,0.6709110724768321,0
INV_00024,29.6,36194.63,32,3858.29,0.1856812229773597,0.8946686966569938,1
